5	5	32	51.1	-1.6	0.015	51.3	0.3	0.755
5	5	35	2.6	-0.3	0.000	2.7	0.1	0.488
5	5	36	11.5	-0.6	0.000	10.9	-0.6	0.720
5	6	1	18.2	0.8	0.000	19.1	0.9	0.000
5	6	2	12.8	0.6	0.002	13.7	0.9	0.000
5	6	3	24.0	0.9	0.000	24.9	0.9	0.006
5	6	22	246.0	-16.2	0.254	243.8	-0.9	0.889
5	6	32	51.8	-1.7	0.033	51.7	-0.2	0.900
5	6	35	2.0	-0.2	0.000	2.1	0.1	0.607
5	6	36	9.8	-1.5	0.000	8.3	-0.7	0.368
5	7	1	7.5	0.5	0.027	8.9	1.4	0.000
5	7	2	3.8	0.4	0.063	5.3	1.5	0.000
5	7	3	11.8	0.5	0.034	13.1	1.3	0.000
5	7	22	146.0	6.2	0.437	151.6	3.9	0.567
5	7	32	65.3	-0.2	0.725	66.5	1.9	0.006
5	7	35	2.5	-0.4	0.000	2.6	0.1	0.643
5	7	36	10.9	-0.7	0.368	9.7	-1.2	0.614
6	1	1	8.0	0.4	0.433	9.1	1.1	0.000
6	1	2	3.9	0.5	0.017	5.1	1.2	0.000
6	1	3	12.6	0.6	0.003	13.7	1.1	0.000
6	1	22	591.7	0.6	0.640	608.1	2.8	0.557
6	1	32	59.2	0.0	0.952	59.5	0.6	0.402
6	1	35	2.6	-0.2	0.000	2.5	-0.1	0.037
6	1	36	12.8	-0.4	0.000	11.4	-1.4	0.206
6	4	1	-3.2	0.4	0.433	-1.4	1.2	0.010
6	4	2	-5.9	0.5	0.345	-4.3	1.6	0.005
6	4	3	-0.4	0.3	0.508	0.9	1.3	0.007
6	4	22	105.5	3.0	0.612	118.8	12.6	0.058
6	4	32	73.7	1.0	0.065	74.3	1.0	0.065
6	4	35	3.0	-0.3	0.000	3.0	-0.3	0.000
6	4	36	13.1	-0.4	0.000	11.0	-2.1	0.363
6	5	1	8.5	0.5	0.074	9.3	0.8	0.003
6	5	2	3.8	0.3	0.197	4.6	0.8	0.004
6	5	3	13.5	0.7	0.038	14.2	0.7	0.011
6	5	22	130.6	3.3	0.640	133.8	2.4	0.736
6	5	32	50.4	-2.0	0.006	50.8	1.0	0.434
6	5	35	2.8	-0.2	0.001	2.9	0.1	0.476
6	5	36	13.6	-0.3	0.001	13.3	-0.3	0.845
6	6	1	19.2	0.8	0.001	20.1	0.9	0.000
6	6	2	13.7	0.6	0.004	14.6	0.9	0.000
6	6	3	25.0	1.0	0.000	26.0	1.0	0.005
6	6	22	219.0	-11.8	0.190	213.1	-2.7	0.669
6	6	32	49.2	-2.3	0.004	48.8	-0.9	0.528
6	6	35	2.1	-0.2	0.000	2.2	0.1	0.480
6	6	36	11.8	-1.1	0.009	10.7	-0.4	0.495
6	7	1	7.8	0.5	0.043	9.3	1.5	0.000
6	7	2	4.1	0.4	0.056	5.7	1.6	0.000
6	7	3	12.2	0.5	0.044	13.6	1.4	0.000
6	7	22	136.7	8.9	0.306	134.9	-1.3	0.861
6	7	32	63.4	0.2	0.775	64.3	1.4	0.072
6	7	35	2.5	-0.2	0.000	2.6	0.1	0.618
6	7	36	12.6	-0.4	0.495	10.8	-1.8	0.462
7	1	1	7.8	0.4	0.420	8.8	1.0	0.000
7	1	2	3.5	0.3	0.032	4.6	1.1	0.000
7	1	3	12.6	0.5	0.008	13.5	0.9	0.000
